programa_codigo;programa_descricao;projeto_atividade_codigo;projeto_atividade_descricao;unidade_orcamentaria_codigo;unidade_orcamentaria_sigla;unidade_orcamentaria_nome;valor_despesa_empenhada;valor_despesa_liquidada;valor_pago_financeiro;valor_despesa_liquidada_rp;valor_pago_rp
1;MINAS INTEGRA E TRANSPARENTE;4304;PROMOCAO DO ACESSO A INFORMACAO E DA TRANSPARENCIA;1521;CGE;CONTROLADORIA-GERAL DO ESTADO;2206209,49;1992056,66;1943811,1;33162,61;30798,39
1;PESQUISA CIENTIFICA, DESENVOLVIMENTO TECNOLOGICO E INOVACAO;4007;FORMACAO E CAPACITACAO CIENTIFICA E TECNOLOGICA;2071;FAPEMIG;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;;;;20800,0;22700,0
1;PESQUISA CIENTIFICA, DESENVOLVIMENTO TECNOLOGICO E INOVACAO;4098;FOMENTO A INOVACAO CIENTIFICA E TECNOLOGICA JUNTO AO SETOR EMPRESARIAL;2071;FAPEMIG;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;;;;0,0;0,0
2;ASSISTENCIA A SAUDE DOS SEGURADOS E DOS SEUS DEPENDENTES;4001;ASSISTENCIA MEDICO-HOSPITALAR AOS SEGURADOS MILITARES E AOS SEUS DEPENDENTES;2121;IPSM;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;;;;0,0;4381,09
2;ASSISTENCIA A SAUDE DOS SEGURADOS E DOS SEUS DEPENDENTES;4002;ASSISTENCIA ODONTOLOGICA AOS SEGURADOS MILITARES E A SEUS DEPENDENTES;2121;IPSM;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;;;;0,0;0,0
2;AUDITORIA INTERNA PARA O FUTURO;4307;FORTALECIMENTO DE SERVICOS DE AUDITORIA INTERNA PARA AGREGAR VALOR A GESTAO PUBLICA ESTADUAL;1521;CGE;CONTROLADORIA-GERAL DO ESTADO;260059,5;243814,58;231913,89;7036,0;33614,57
2;AUDITORIA INTERNA PARA O FUTURO;4308;APRIMORAMENTO DA CAPACIDADE DE AUDITORIA INTERNA NOS PADROES INTERNACIONAIS;1521;CGE;CONTROLADORIA-GERAL DO ESTADO;260059,5;243814,58;231913,89;0,0;0,0
2;AUDITORIA INTERNA PARA O FUTURO;4309;ESTRUTURACAO TECNOLOGICA E INSTITUCIONALIZACAO DA AUDITORIA CONTINUA;1521;CGE;CONTROLADORIA-GERAL DO ESTADO;260059,5;243814,58;231913,89;85986,0;90579,35
2;SAUDE INTEGRADA;4003;GESTAO DA POLITICA HOSPITALAR - COMPLEXO DE URGENCIA E EMERGENCIA;2271;FHEMIG;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;;;;2099,19;0,0
2;SAUDE INTEGRADA;4004;GESTAO DA POLITICA HOSPITALAR - COMPLEXO DE ESPECIALIDADES;2271;FHEMIG;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;;;;0,0;0,0
2;SAUDE INTEGRADA;4006;GESTAO DA POLITICA HOSPITALAR - COMPLEXO DE HOSPITAIS GERAIS;2271;FHEMIG;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;;;;0,0;0,0
2;SAUDE INTEGRADA;4252;MANUTENCAO DE HOSPITAIS REGIONAIS;4291;FES;FUNDO ESTADUAL DE SAUDE;;;;0,0;0,0
2;SAUDE INTEGRADA;4299;AQUISICAO, ARMAZENAMENTO E DISTRIBUICAO DE MEDICAMENTOS BASICOS;4291;FES;FUNDO ESTADUAL DE SAUDE;;;;0,0;0,0
2;SAUDE INTEGRADA;4308;GESTAO DA POLITICA HOSPITALAR - FORTALECIMENTO E MELHORIA DA QUALIDADE DOS HOSPITAIS DO SISTEMA UNIC;4291;FES;FUNDO ESTADUAL DE SAUDE;;;;0,0;0,0
2;SAUDE INTEGRADA                                                                                                         ;4003;GESTAO DA POLITICA HOSPITALAR - COMPLEXO DE URGENCIA E EMERGENCIA;2271;FHEMIG;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;;;;0,0;0,0
2;SAUDE INTEGRADA                                                                                                         ;4282;ASSISTENCIA HOSPITALAR E AMBULATORIAL / PROGRAMACAO PACTUADA INTEGRADA;4291;FES;FUNDO ESTADUAL DE SAUDE;;;;0,0;0,0
3;ENFRENTAMENTO DA CORRUPCAO E RECUPERACAO DE ATIVOS;4303;EXECUCAO DE ACOES INVESTIGATIVAS E RECUPERACAO DE ATIVOS;1521;CGE;CONTROLADORIA-GERAL DO ESTADO;250470,94;238270,36;223901,65;84474,58;87993,48
3;ENFRENTAMENTO DA CORRUPCAO E RECUPERACAO DE ATIVOS;4311;APURACAO DE RESPONSABILIDADE DE AGENTES PUBLICOS E PESSOAS JURIDICAS;1521;CGE;CONTROLADORIA-GERAL DO ESTADO;250470,94;238270,36;223901,65;416,0;416,0
3;GESTAO ESTRATEGICA DA INVESTIGACAO CRIMINAL;4003;PERICIAS TECNICO-CIENTIFICAS;1511;PCMG;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;;;;0,0;0,0
3;GESTAO ESTRATEGICA DA INVESTIGACAO CRIMINAL;4005;EXERCICIO DE POLICIA JUDICIARIA E INVESTIGACAO CRIMINAL;1511;PCMG;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;;;;0,0;1029,8
3;MELHOR EMPREGO;4605;PROGRAMA DE DESENVOLVIMENTO DA EDUCACAO PROFISSIONAL (PEP);1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;;;;0,0;0,0
3;PRESTACAO DE SERVICOS PREVIDENCIARIOS;4004;AUXILIOS PREVIDENCIARIOS E ASSISTENCIAIS CONCEDIDOS AOS SEGURADOS E AOS SEUS DEPENDENTES;2121;IPSM;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;;;;0,0;6272,83
4;CGE INTEGRADA E EFICIENTE;4313;COORDENACAO DAS UNIDADES DESCENTRALIZADAS DA CGE;1521;CGE;CONTROLADORIA-GERAL DO ESTADO;1099731,85;518101,29;511776,9;2276,0;2276,0
4;CGE INTEGRADA E EFICIENTE;4314;GOVERNANCA TIC PARA O CONTROLE INTERNO;1521;CGE;CONTROLADORIA-GERAL DO ESTADO;1099731,85;518101,29;511776,9;665071,98;664711,2
5;EDICAO, IMPRESSAO, COMERCIALIZACAO E DIVULGACAO DO JORNAL MINAS GERAIS E DOS SERVICOS GRAFICOS;4040;EDICAO E IMPRESSAO DO JORNAL MINAS GERAIS E DE SERVICOS GRAFICOS;1491;SEGOV;SECRETARIA DE ESTADO DE GOVERNO;;;;0,0;0,0
5;INVESTIGACAO;1004;MODERNIZACAO DA POLICIA JUDICIARIA;1511;PCMG;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;;;;0,0;0,0
5;INVESTIGACAO;1039;ENFRENTAMENTO A VIOLENCIA CONTRA A MULHER.;1511;PCMG;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;;;;287,67;287,67
5;INVESTIGACAO;4022;PERICIAS TECNICO-CIENTIFICAS;1511;PCMG;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;;;;0,0;14642,53
5;INVESTIGACAO;4025;GESTAO DAS UNIDADES POLICIAIS;1511;PCMG;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;;;;110277,87;354331,12
6;ASSISTENCIA A SAUDE DOS SEGURADOS E DOS SEUS DEPENDENTES;4008;ASSISTENCIA A SAUDE DOS SEGURADOS E DE SEUS DEPENDENTES;2121;IPSM;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;952228489,01;944481476,94;921510146,57;2368263,2;2068635,94
6;ASSISTENCIA A SAUDE DOS SEGURADOS E DOS SEUS DEPENDENTES;4009;ASSITENCIA ODONTOLOGICA AOS SEGURADOS MILITARES E A SEUS DEPENDENTES;2121;IPSM;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;952228489,01;944481476,94;921510146,57;148010,8;154168,93
7;EDUCACAO SUPERIOR;4001;OFERTA DE CURSOS DE GRADUACAO;2311;UNIMONTES;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;136471774,34;109791071,38;99320275,89;5805978,1;5349849,73
7;EDUCACAO SUPERIOR;4002;APOIO AS ATIVIDADES DE PESQUISA, INOVACAO E TECNOLOGIA.;2311;UNIMONTES;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;136471774,34;109791071,38;99320275,89;72825,18;71455,58
7;EDUCACAO SUPERIOR;4004;APOIO AOS PROGRAMAS DE POS-GRADUACAO STRICTO SENSU.;2311;UNIMONTES;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;136471774,34;109791071,38;99320275,89;0,0;0,0
7;EDUCACAO SUPERIOR;4005;ASSISTENCIA ESTUDANTIL;2311;UNIMONTES;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;136471774,34;109791071,38;99320275,89;452155,72;451459,98
7;EDUCACAO SUPERIOR;4006;OFERTA DE ENSINO TECNICO E PROFISSIONAL;2311;UNIMONTES;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;136471774,34;109791071,38;99320275,89;14397482,37;13054824,6
7;EDUCACAO SUPERIOR;4017;MANUTENCAO DO HOSPITAL DE ENSINO;2311;UNIMONTES;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;136471774,34;109791071,38;99320275,89;8342547,18;7760577,99
7;EDUCACAO SUPERIOR;4550;FORNECIMENTO DE REFEICOES NA UNIVERSIDADE;2311;UNIMONTES;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;136471774,34;109791071,38;99320275,89;711967,71;704800,97
7;VALORIZACAO DO SERVIDOR;2002;COLEGIO ORDEM E PROGRESSO;1511;PCMG;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;;;;0,0;70,0
7;VALORIZACAO DO SERVIDOR;2003;FORMACAO E CAPACITACAO;1511;PCMG;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;;;;0,0;70,0
7;VALORIZACAO DO SERVIDOR;2004;SAUDE DO SERVIDOR;1511;PCMG;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;;;;0,0;140,0
8;AVANCA MINAS OLIMPICA;1297;GERACAO SAUDE;4291;FES;FUNDO ESTADUAL DE SAUDE;;;;0,0;0,0
8;PRESTACAO DE SERVICOS PREVIDENCIARIOS;4010;AUXILIOS PREVIDENCIARIOS E ASSISTENCIAIS CONCEDIDOS AOS SEGURADOS E AOS SEUS DEPENDENTES;2121;IPSM;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;34613254,86;32304624,39;28329730,07;2723023,89;2361928,46
8;PRESTACAO DE SERVICOS PREVIDENCIARIOS;4011;AUXILIO RECLUSAO CONCEDIDO AOS DEPENDENTES DO SEGURADO;2121;IPSM;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;34613254,86;32304624,39;28329730,07;0,0;41536,69
8;TRANSITO;4135;REGISTRO DE CONDUTORES E VEICULOS;1501;SEPLAG;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;;;;835400,0;825375,2
9;PROGRAMA DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS;4349;FINANCIAMENTO HABITACIONAL AOS SERVIDORES MILITARES;4541;FAHMEMG;FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS;350405,0;318593,91;300914,63;27969,18;26392,47
9;PROGRAMA ESTADUAL DE COOPERATIVISMO DA AGRICULTURA FAMILIAR E AGROINDUSTRIA FAMILIAR;2034;AGROINDUSTRIA FAMILIAR E INFRAESTRUTURA;1231;SEAPA;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;;;;0,0;0,0
10;DIVERSIDADE E INCLUSAO;4021;EDUCACAO DO CAMPO - ENSINO FUNDAMENTAL;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;;;;0,0;0,0
10;DIVERSIDADE E INCLUSAO;4051;EDUCACAO DO CAMPO - ENSINO MEDIO;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;;;;0,0;0,0
10;DIVERSIDADE E INCLUSAO;4053;EDUCACAO ESPECIAL - ENSINO FUNDAMENTAL;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;;;;0,0;0,0
10;DIVERSIDADE E INCLUSAO;4063;EDUCACAO ESPECIAL - ENSINO MEDIO;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;;;;0,0;0,0
10;DIVERSIDADE E INCLUSAO;4066;EDUCACAO INDIGENA - ENSINO FUNDAMENTAL;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;;;;0,0;0,0
10;DIVERSIDADE E INCLUSAO;4075;EDUCACAO INDIGENA - ENSINO MEDIO;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;;;;0,0;0,0
10;DIVERSIDADE E INCLUSAO;4079;EDUCACAO QUILOMBOLA - ENSINO FUNDAMENTAL;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;;;;0,0;0,0
10;DIVERSIDADE E INCLUSAO;4115;EDUCACAO QUILOMBOLA - ENSINO MEDIO;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;;;;0,0;0,0
10;PLANO DE ATENCAO A SAUDE;2026;INFRAESTRUTURA E SUPORTE AO PLANO DE ATENCAO A SAUDE;2011;IPSEMG;INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS;;;;73984,0;70432,77
